AirQuality,Forests,GreenInfrast,HabitatLoss,Health,Invasives,LandUse,Nutrients,Pests&Path,Recreation,RestorNatSyst,RisingTemps,SoilErosion,StormWater,Transportation,TreeManagement,VulnerableComms,WarmSeason,WaterQuality
,0.5,0.216,0.433,0.95,0.167,0.475,0.166,0.4,0.533,0.15,0.6,0.2,0.133,0.383,0.375,0.816,0.25,0.316
0.65,,0.183,0.783,0.85,0.7,0.467,0.65,0.75,0.95,0.583,0.55,0.808,0.817,0.3,0.367,0.417,0.675,0.85
0.4,0.233,,0.483,0.767,0.4,0.35,0.642,0.267,0.658,0.467,0.258,0.692,0.892,0.517,0.692,0.533,0.408,0.825
0.633,0.908,0.375,,0.767,0.833,0.425,0.483,0.325,0.933,0.717,0.342,0.75,0.7,0.3,0.5,0.583,0.425,0.717
0.233,0.217,0.142,0.183,,0.05,0.383,0.092,0.233,0.625,0.2,0.167,0.15,0.133,0.492,0.208,0.5,0.183,0.267
0.133,0.95,0.467,0.883,0.383,,0.483,0.55,0.842,0.883,0.817,0.117,0.575,0.667,0.475,0.733,0.3,0.283,0.617
0.65,0.9,0.475,0.925,0.75,0.808,,0.667,0.583,0.767,0.683,0.533,0.867,0.917,0.867,0.8,0.783,0.5,0.933
0.217,0.358,0.483,0.59,0.783,0.45,0.45,,0.458,0.658,0.533,0.21,0.667,0.533,0.217,0.4,0.675,0.25,0.95
0.25,0.883,0.267,0.883,0.833,0.658,0.483,0.427,,0.817,0.567,0.3,0.342,0.275,0.317,0.933,0.717,0.083,0.75
0.733,0.85,0.458,0.833,0.867,0.808,0.725,0.542,0.767,,0.8,0.267,0.683,0.85,0.542,0.883,0.617,0.383,0.833
0.325,0.683,0.617,0.75,0.708,0.817,0.842,0.6,0.75,0.683,,0.342,0.792,0.833,0.35,0.733,0.542,0.558,0.917
0.583,0.65,0.325,0.633,0.7,0.65,0.35,0.49,0.8,0.508,0.3,,0.333,0.583,0.217,0.683,0.733,0.9,0.583
0.675,0.625,0.608,0.65,0.583,0.783,0.592,0.825,0.425,0.533,0.567,0.258,,0.908,0.542,0.567,0.733,0.279,0.967
0.117,0.65,0.792,0.667,0.817,0.733,0.633,0.792,0.425,0.733,0.6,0.1,0.975,,0.592,0.733,0.75,0.133,0.933
0.95,0.583,0.533,0.8,0.792,0.7,0.917,0.258,0.6,0.583,0.583,0.642,0.6,0.742,,0.692,0.75,0.633,0.642
0.65,0.542,0.742,0.8,0.9,0.933,0.583,0.367,0.817,0.883,0.667,0.558,0.658,0.833,0.4,,0.758,0.542,0.767
0.267,0.467,0.192,0.35,0.867,0.35,0.342,0.517,0.433,0.25,0.383,0.15,0.483,0.5,0.483,0.575,,0.233,0.467
0.7,0.833,0.692,0.817,0.9,0.825,0.675,0.842,0.95,0.85,0.525,0.633,0.867,0.833,0.658,0.867,0.883,,0.867
0.083,0.217,0.358,0.758,1,0.567,0.517,0.483,0.55,0.6,0.6,0.017,0.3,0.3,0.233,0,0.783,0.05,
